depth,rop,wob,temp_out,rpm,gpm
605.8,116.64,9.93,108.55,71.49,882.82
606.85,108.63,0,108.36,90.38,883.22
607.87,107.75,5.01,108.16,84.98,881.58
608.91,120.4,4,108.01,93.83,868.67
609.95,120.4,2.68,107.9,99.13,869.27
610.96,122.12,4.26,107.75,85.53,869.48
611.98,113.12,8.17,107.63,73.66,869.89
613.02,120.4,8.83,107.48,77.93,870.09
614.05,77.79,7.07,107.29,81.01,866.41
615.07,101.78,6.72,107.21,76.4,865.38
616.11,113.12,5.93,107.25,87.75,864.97
617.15,103.69,10.02,107.44,80.1,866.41
618.16,76.36,8.57,107.59,86.96,864.16
619.2,91.06,7.73,107.82,75.73,860.88
620.24,34.9,4.79,108.36,104.57,859.04
623,34,0,106.6,59.35,826.33
624.02,21.31,8.91,107.82,87.63,852.92
625.04,98.25,9.52,108.13,89.58,870.75
626.05,99.04,8.12,108.13,84.55,867.27
627.09,116.65,4.56,108.09,97.82,870.14
628.11,114.48,8.38,108.05,88.73,868.3
629.13,121.74,7.02,107.97,96.97,870.14
630.14,101.79,10.36,108.01,69.27,868.29
631.16,76.34,6.1,108.09,78.94,872.59
632.2,93.35,8.69,108.28,75.89,872.18
633.22,91.61,7.55,108.47,77.17,874.64
634.25,98.26,10.18,108.62,77.78,873.62
635.29,63.31,8.91,108.93,79.97,873.42
636.31,101.79,7.55,108.93,76.16,875.67
637.35,113.12,4.43,108.93,80.34,874.44
638.36,118.18,8.29,108.93,78.94,874.44
639.38,118.19,0,108.97,110.3,873.83
640.4,118.18,2.72,109,59.72,875.67
641.42,120.41,7.33,108.97,68.59,875.06
642.43,114.48,9.88,109.12,76.34,875.88
643.45,82.97,8.56,109.16,77.14,872.81
644.49,120.4,5.88,109.16,85.71,875.67
645.53,120.4,4.08,109.19,85.89,874.86
646.56,120.4,7.5,109.23,34.73,879.16
647.6,120.4,4.96,109.31,109.66,880.59
648.64,120.4,5.22,109.35,85.37,881.21
649.65,122.12,5.13,109.42,86.26,881.21
650.67,122.11,6.76,109.61,81.93,883.05
651.71,120.4,8.91,109.58,79.97,879.57
652.73,118.18,7.5,109.54,80.07,880.8
653.74,101.78,7.99,109.58,79.39,882.23
654.76,101.79,7.24,109.58,76.19,882.64
655.8,106.66,8.56,109.5,80.37,880.8
656.82,67.88,7.19,108.77,75.64,864.36
657.83,117.47,8.29,108.97,95.72,860.06
658.85,114.48,10.14,109.08,93.43,906.6
659.87,110.91,8.69,109.27,91.78,902.32
660.89,122.11,3.42,109.31,90.44,903.14
661.92,120.41,9.39,109.42,78.36,876.49
662.96,120.4,5.48,109.5,79.24,885.68
663.98,107.76,9.7,109.58,64.87,818.09
665,104.68,9.3,109.92,72.38,890.57
666.01,120.41,5.88,110.41,92,912.33
667.03,118.18,8.2,110.76,86.78,911.51
668.07,98.25,5.66,111.06,82.96,915.81
669.09,114.49,8.07,111.18,83.48,906.59
670.12,116.65,8.6,111.44,91.78,815.61
671.16,120.41,5.79,111.75,97.27,902.01
672.18,122.12,8.64,111.94,77.66,902.21
673.2,114.48,9.65,111.71,75,905.28
674.21,109.8,7.63,111.63,76.34,881.94
675.25,124.42,4.87,111.52,84,921.72
676.29,120.41,5.35,111.41,79.18,921.73
677.32,120.4,6.1,111.33,76.25,922.96
678.36,124.42,4.08,111.25,81.1,924.8
679.4,120.42,6.97,111.18,78.11,925
680.43,120.4,6.49,111.18,77.32,927.87
681.47,124.41,6.23,111.21,78.42,927.25
682.49,118.17,7.63,111.18,72.59,884.25
683.51,114.49,7.98,111.18,88.18,924.39
684.54,116.64,6.36,111.18,100.9,842.89
685.56,122.12,0,111.14,105.48,917.42
686.58,114.48,7.63,111.1,82.9,930.94
687.6,120.41,4.56,111.21,81.53,855.99
688.61,107.76,5.88,111.14,79.58,842.48
689.63,119.82,11.84,110.76,84.61,862.11
690.69,122.64,12.74,110.64,82.81,884.64
691.74,122.66,11.65,110.6,85.95,884.85
692.76,118.2,12.96,110.57,51.63,888.12
693.78,120.42,11.16,110.53,82.23,889.96
694.8,122.11,12.17,110.45,74.73,891.19
695.81,120.37,11.8,110.45,71.07,893.03
696.89,122.28,11.72,110.49,74.12,810.91
697.93,124.42,11.46,110.49,71.34,895.27
698.94,122.12,9.89,110.45,68.47,810.49
699.96,120.44,8.39,110.49,97.27,850.02
701,120.42,12.36,110.45,77.59,831.8
702.02,116.82,12.02,110.49,82.9,800.88
703.05,122.64,11.05,110.57,96.85,872.77
704.07,118.18,16.45,110.68,77.35,893.47
705.09,111.03,15.29,110.68,81.93,895.52
706.11,91.06,15.96,111.02,82.66,893.47
707.12,91.61,15.85,111.41,64.99,890.2
708.16,106.66,16.3,111.75,71.71,886.71
709.18,79.69,15.36,111.98,64.48,887.33
710.2,96.44,15.81,111.98,74.42,887.74
711.22,83.29,15.55,112.13,80.58,886.31
712.23,104.69,17.24,112.13,77.59,884.88
713.25,60.11,16.3,111.98,83.45,885.7
714.27,64.41,14.91,112.13,69.75,882.01
715.29,85.24,16.22,113.04,75.25,886.31
716.31,81.18,16.6,113.27,80,883.86
717.32,87.25,13.45,113.54,79.33,881.61
718.34,122.12,11.57,113.46,87.27,881
